,Unnamed: 0,game_name,game_params,init_time,total_time,times,level,load,it,GPU,CPU,storage,config_id
28,28.0,Apex,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'window_names': ['Apex Legends']}",2021-12-16 19:55:51.163527680,49.0464110374,"[0.25937962532043457, 25.853037357330322, 38.46029829978943, 40.04517412185669, 48.50734543800354]",8.4621713161,38.2009186745,8,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
29,29.0,Apex,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'window_names': ['Apex Legends']}",2021-12-16 19:56:51.176444160,50.1620864868,"[0.24650335311889648, 27.137781381607056, 40.382019996643066, 42.03360342979431, 49.62236213684082]",7.588758707,40.1355166435,9,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
30,30.0,Hearthstone,"{'move_time': 0.0, 'kill_mode': 'os', 'process_name': ['Hearth', 'Battle'], 'window_names': ['Battle.net', 'Hearthstone']}",2021-12-16 19:57:52.309673984,37.7331674099,"[0.22850584983825684, 10.30288577079773, 27.436413288116455, 37.20787501335144]",9.7714617252,17.1335275173,0,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
31,31.0,Hearthstone,"{'move_time': 0.0, 'kill_mode': 'os', 'process_name': ['Hearth', 'Battle'], 'window_names': ['Battle.net', 'Hearthstone']}",2021-12-16 19:58:43.040773376,31.8692245483,"[0.26467132568359375, 6.941152811050415, 22.92130708694458, 31.3427095413208]",8.4214024544,15.9801542759,1,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
32,32.0,Hearthstone,"{'move_time': 0.0, 'kill_mode': 'os', 'process_name': ['Hearth', 'Battle'], 'window_names': ['Battle.net', 'Hearthstone']}",2021-12-16 19:59:27.872262912,35.3606243134,"[0.2473006248474121, 8.254918813705444, 26.340765953063965, 34.81672477722168]",8.4759588242,18.0858471394,2,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
33,33.0,Hearthstone,"{'move_time': 0.0, 'kill_mode': 'os', 'process_name': ['Hearth', 'Battle'], 'window_names': ['Battle.net', 'Hearthstone']}",2021-12-16 21:51:43.442337024,32.8696577549,"[0.24454665184020996, 7.597211837768555, 23.79096794128418, 32.338966369628906]",8.5479984283,16.1937561035,3,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
34,34.0,Hearthstone,"{'move_time': 0.0, 'kill_mode': 'os', 'process_name': ['Hearth', 'Battle'], 'window_names': ['Battle.net', 'Hearthstone']}",2021-12-16 21:52:29.475356928,33.7323284149,"[0.26154279708862305, 7.582937240600586, 24.676128149032593, 33.203585386276245]",8.5274572372,17.0931909084,4,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
35,35.0,Hearthstone,"{'move_time': 0.0, 'kill_mode': 'os', 'process_name': ['Hearth', 'Battle'], 'window_names': ['Battle.net', 'Hearthstone']}",2021-12-16 21:53:16.407754752,32.1471867561,"[0.24368619918823242, 6.9860780239105225, 23.151905298233032, 31.62658381462097]",8.474678516400001,16.1658272743,5,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
36,36.0,Hearthstone,"{'move_time': 0.0, 'kill_mode': 'os', 'process_name': ['Hearth', 'Battle'], 'window_names': ['Battle.net', 'Hearthstone']}",2021-12-16 21:54:01.764820480,33.0528986454,"[0.24464654922485352, 6.939380645751953, 24.678726196289062, 32.526787757873535]",7.8480615616,17.7393455505,6,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
37,37.0,Hearthstone,"{'move_time': 0.0, 'kill_mode': 'os', 'process_name': ['Hearth', 'Battle'], 'window_names': ['Battle.net', 'Hearthstone']}",2021-12-16 21:54:47.990650624,32.9770028591,"[0.2515676021575928, 6.9827048778533936, 23.89760184288025, 32.45194125175476]",8.5543394089,16.914896965,7,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
