,Unnamed: 0,iteration,game_name,game_params,init_time,total_time,times,level,load
37,37,7,Hearthstone,"{'move_time': 0.0, 'kill_mode': 'os', 'process_name': ['Hearth', 'Battle'], 'window_names': ['Battle.net', 'Hearthstone']}",2022-03-19 16:04:13.565720576,102.7048437595,"[1.7454922199249268, 8.829351902008057, 26.79295063018799, 33.63681387901306, 35.32639455795288, 37.37062048912048, 39.41430449485779, 41.444130182266235, 43.50681185722351, 45.52152490615845, 77.36184859275818, 79.07318830490112, 95.47745537757874, 98.6524338722229, 100.32712864875793, 102.37324261665344]",6.8438632488,17.9635987282
38,38,8,Hearthstone,"{'move_time': 0.0, 'kill_mode': 'os', 'process_name': ['Hearth', 'Battle'], 'window_names': ['Battle.net', 'Hearthstone']}",2022-03-19 16:06:18.085950464,106.896071434,"[1.7415499687194824, 9.457214593887329, 28.156843185424805, 35.02033257484436, 36.71280646324158, 38.75007390975952, 40.81313490867615, 42.85825562477112, 44.888466119766235, 46.9210319519043, 78.75883722305298, 80.46669054031372, 99.69011783599854, 102.84609818458557, 104.53085017204285, 106.56965231895447]",6.8634893894,18.6996285915
39,39,9,Hearthstone,"{'move_time': 0.0, 'kill_mode': 'os', 'process_name': ['Hearth', 'Battle'], 'window_names': ['Battle.net', 'Hearthstone']}",2022-03-19 16:08:26.787761408,107.6220035553,"[1.7571403980255127, 11.089090347290039, 28.970012664794922, 35.815911054611206, 37.50941491127014, 39.54785227775574, 41.6157705783844, 43.63872480392456, 45.67225193977356, 47.683911085128784, 79.5259735584259, 81.23027729988098, 100.44048309326172, 103.60360360145569, 105.27256464958191, 107.30081558227539]",6.8458983898,17.8809223175
40,40,0,Fortnite,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'process_name': ['Fortnite'], 'window_names': []}",2022-03-19 16:10:36.204094720,67.8212368488,"[1.7259225845336914, 49.24728298187256, 55.41886377334595, 67.46990633010864]",12.0510425568,47.5213603973
41,41,1,Fortnite,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'process_name': ['Fortnite'], 'window_names': []}",2022-03-19 16:12:05.490071296,55.3754749298,"[1.736945629119873, 35.00819277763367, 41.19301390647888, 55.02495980262756]",13.8319458961,33.2712471485
42,42,2,Fortnite,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'process_name': ['Fortnite'], 'window_names': []}",2022-03-19 16:13:22.323581440,54.6736531258,"[1.719881296157837, 34.7748019695282, 41.62317442893982, 54.33503603935242]",12.7118616104,33.0549206734
43,43,3,Fortnite,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'process_name': ['Fortnite'], 'window_names': []}",2022-03-19 16:14:38.516992512,53.0298781395,"[1.7256810665130615, 32.69876170158386, 39.53355836868286, 52.68853974342346]",13.1549813747,30.9730806351
44,44,4,Fortnite,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'process_name': ['Fortnite'], 'window_names': []}",2022-03-19 16:15:53.025597696,54.7572388649,"[1.7259104251861572, 34.323486328125, 41.24862194061279, 54.40594005584717]",13.1573181152,32.5975759029
45,45,5,Fortnite,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'process_name': ['Fortnite'], 'window_names': []}",2022-03-19 16:17:09.254213376,53.9756979942,"[1.7218475341796875, 34.78109693527222, 41.61571955680847, 53.6347382068634]",12.0190186501,33.0592494011
46,46,6,Fortnite,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'process_name': ['Fortnite'], 'window_names': []}",2022-03-19 16:18:24.692145408,56.0128571987,"[1.7258825302124023, 34.242525815963745, 41.12696290016174, 55.682923316955566]",14.5559604168,32.5166432858
