,/lpc/nct6793d/control/0,/lpc/nct6793d/control/1,/lpc/nct6793d/control/2,/lpc/nct6793d/control/3,/lpc/nct6793d/control/4,/lpc/nct6793d/control/5,/lpc/nct6793d/voltage/0,/lpc/nct6793d/voltage/1,/lpc/nct6793d/voltage/2,/lpc/nct6793d/voltage/3,/lpc/nct6793d/voltage/4,/lpc/nct6793d/voltage/5,/lpc/nct6793d/voltage/6,/lpc/nct6793d/voltage/7,/lpc/nct6793d/voltage/8,/lpc/nct6793d/voltage/9,/lpc/nct6793d/voltage/10,/lpc/nct6793d/voltage/11,/lpc/nct6793d/voltage/12,/lpc/nct6793d/voltage/13,/lpc/nct6793d/voltage/14,/lpc/nct6793d/temperature/0,/lpc/nct6793d/temperature/1,/lpc/nct6793d/temperature/2,/lpc/nct6793d/temperature/3,/lpc/nct6793d/temperature/4,/lpc/nct6793d/temperature/5,/lpc/nct6793d/temperature/6,/lpc/nct6793d/fan/0,/lpc/nct6793d/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/fan/0,/atigpu/0/control/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0,/hdd/2/level/0,/hdd/2/data/0,/hdd/2/load/0,/hdd/2/temperature/0,/hdd/2/factor/0,/hdd/3/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VBAT","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #1","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Fan","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","Temperature","Used Space","Temperature","Used Space","Remaining Life","Total Bytes Written","Used Space","Temperature","Write Amplification","Used Space"
12/16/2021 12:03:14,28.62745,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.40800023,3.40800023,0.992000043,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,39,27.5,118,26.5,111,111,110,2166.934,1939.65515,50,59.375,51.5625,53.125,53.515625,32,37,33,38,38,3904.45166,3904.45166,3904.45166,3904.45166,29.4362411,21.9517574,0.601620734,1.98911536,100.114143,46.9641342,7.4526825,8.416199,66,1534,44,900,1050,1.17500007,0,34,47.4652672,30,38.4083824,100,488.697266,48.79143,31,1.571287,0.007537842
12/16/2021 12:03:15,27.4509811,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.40800023,3.40800023,0.992000043,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,39,27.5,118,26.5,111,110,110,2170.418,1942.446,51.5625,43.75,62.5,48.4375,51.5625,31,30,41,31,41,4004.56616,4004.56616,4004.56616,3904.452,29.8540134,22.5112324,0.492320031,1.8776238,100.114151,46.7901649,7.42507553,8.443806,63.0000038,1536,44,900,1050,1.17500007,0,34,47.4652672,30,38.4083824,100,488.697266,48.79143,31,1.571287,0.007537842
12/16/2021 12:03:16,27.4509811,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.40800023,3.40800023,0.992000043,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,39,27.5,118,26.5,111,111,110,2166.934,1928.57141,60.9375,56.25,46.875,35.9375,50,33,39,30,33,40,3904.45239,3904.45239,3904.45239,3904.45239,30.9178772,23.4624386,0.61101824,1.95547867,100.114166,46.8178062,7.42946243,8.439419,66,1521,44,900,1050,1.17500007,84,34,47.4652672,30,38.4083824,100,488.697266,48.79143,31,1.571287,0.007537842
12/16/2021 12:03:17,28.62745,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.42400026,3.40800023,0.992000043,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,40,27.5,118,26.5,111,111,110,2149.68164,1939.65515,43.75,65.625,45.3125,51.5625,51.5625,41,38,37,36,41,3904.45166,3904.45166,3904.45166,3904.45166,32.24516,24.7877,0.5933291,1.95332146,100.114143,44.18885,7.0122757,8.856606,67,1548,44,900,1050,1.17500007,91,34,47.4652672,30,38.4083824,100,488.697266,48.79143,31,1.571287,0.007537842
12/16/2021 12:03:18,29.8039227,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.42400026,3.40800023,0.992000043,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,40,27.5,118,26.5,111,111,110,2153.11,1939.65515,62.5,53.125,71.875,51.5625,59.765625,35,37,41,40,41,3904.45166,3904.45166,3904.45166,3904.45166,35.6103821,28.2330666,0.5757522,1.95953131,100.114151,44.1893044,7.012348,8.856533,66,1572,44,900,1050,1.17500007,91,34,47.4652672,30,38.4083824,100,488.697266,48.79143,31,1.571287,0.007537842
12/16/2021 12:03:19,29.8039227,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.42400026,3.40800023,0.992000043,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,40,27.5,118,26.5,111,111,110,2160,1942.446,57.8125,67.1875,68.75,78.125,67.96875,33,36,38,39,39,3904.45215,3904.45215,3904.45215,3904.45215,35.6893539,28.2379589,0.605569661,1.95554,100.114159,44.1872826,7.01202774,8.85685349,67,1568,44,900,1050,1.17500007,91,34,47.4652672,30,38.4083824,100,488.697266,48.79143,31,1.571287,0.007537842
12/16/2021 12:03:20,30.19608,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.42400026,3.3920002,0.992000043,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,41,27.5,118,26.5,111,111,110,2153.11,1939.65515,50.7692337,72.30769,64.61538,47.6923065,58.8461533,35,40,39,39,40,3904.45166,3904.45166,3904.45166,3904.45166,35.9447861,28.494669,0.622162,2.01471472,100.114143,44.425705,7.049862,8.819019,66,1582,46,900,1050,1.17500007,91,34,47.4652672,30,38.4083824,100,488.697266,48.79143,31,1.571287,0.007537842
12/16/2021 12:03:21,30.9803925,100,49.80392,49.80392,49.80392,49.80392,0.39200002,1.016,3.40800023,3.40800023,1,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,32,27.5,118,26.5,111,111,110,2160,1931.33044,66.15385,30.76923,15.3846149,46.1538429,39.61538,27,28,27,27,28,800.9131,800.9131,1701.94031,1701.94031,20.1237183,12.8715162,0.360724747,1.69178152,100.114136,25.6064758,4.0634613,11.80542,62.0000038,1666,41,900,1050,1.17500007,82,34,47.4652672,30,38.4083824,100,488.697266,48.79143,31,1.571287,0.007537842
12/16/2021 12:03:22,25.8823528,100,49.80392,49.80392,49.80392,49.80392,0.39200002,1.016,3.42400026,3.40800023,1,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,27,27.5,118,26.5,111,111,110,2153.11,1939.65515,3.125,7.8125,7.8125,3.125,5.46875,26,27,25,26,27,800.9129,800.9129,1501.71167,1501.71167,8.628071,1.35582459,0.5691415,1.081487,100.114113,25.3525772,4.02317047,11.8457108,62.0000038,1445,41,900,1050,1.17500007,72,34,47.4652672,30,38.4083824,100,488.697266,48.79143,31,1.571287,0.007537842
12/16/2021 12:03:23,20,100,49.80392,49.80392,49.80392,49.80392,0.39200002,1.016,3.42400026,3.40800023,1,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,27,27.5,118,26.5,111,111,110,2160,1920.34143,6.25,6.25,3.125,7.8125,5.859375,27,27,26,26,28,1802.05542,800.9135,800.9135,800.9135,8.472849,1.15550339,0.6100446,1.05883515,100.114189,25.2807,4.01176453,11.8571167,62.0000038,1386,41,900,1050,1.17500007,52,34,47.4652672,30,38.4083824,100,488.697266,48.79143,31,1.571287,0.007537842
