,/lpc/nct6793d/control/0,/lpc/nct6793d/control/1,/lpc/nct6793d/control/2,/lpc/nct6793d/control/3,/lpc/nct6793d/control/4,/lpc/nct6793d/control/5,/lpc/nct6793d/voltage/0,/lpc/nct6793d/voltage/1,/lpc/nct6793d/voltage/2,/lpc/nct6793d/voltage/3,/lpc/nct6793d/voltage/4,/lpc/nct6793d/voltage/5,/lpc/nct6793d/voltage/6,/lpc/nct6793d/voltage/7,/lpc/nct6793d/voltage/8,/lpc/nct6793d/voltage/9,/lpc/nct6793d/voltage/10,/lpc/nct6793d/voltage/11,/lpc/nct6793d/voltage/12,/lpc/nct6793d/voltage/13,/lpc/nct6793d/voltage/14,/lpc/nct6793d/temperature/0,/lpc/nct6793d/temperature/1,/lpc/nct6793d/temperature/2,/lpc/nct6793d/temperature/3,/lpc/nct6793d/temperature/4,/lpc/nct6793d/temperature/5,/lpc/nct6793d/temperature/6,/lpc/nct6793d/fan/0,/lpc/nct6793d/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/fan/0,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0,/hdd/2/level/0,/hdd/2/data/0,/hdd/2/load/0,/hdd/2/temperature/0,/hdd/2/factor/0,/hdd/3/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VBAT","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #1","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space","Temperature","Used Space","Remaining Life","Total Bytes Written","Used Space","Temperature","Write Amplification","Used Space"
12/16/2021 07:12:58,28.62745,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.42400026,3.40800023,1,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,40,28.5,117,26.5,110,109,109,2160,1928.57141,90.625,78.125,71.875,81.25,80.46875,33,37,33,36,37,3904.46045,3904.46045,3904.46045,3904.46045,34.37558,28.6137314,1.02340508,2.98054433,100.114372,45.6746445,7.2480545,8.620827,47,1252.96851,3505.50024,2505.937,1140,8,2,0,4,35,2048,2031.40234,16.5976563,99.18957,34.821003,596.6797,224.609375,33,0.0102996826,30,0.0422515869,100,479.078857,48.1967,25,1.56555367,0.007537842
12/16/2021 07:12:59,28.62745,100,49.80392,49.80392,49.80392,49.80392,0.576000035,1.008,3.40800023,3.40800023,1,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,39,28.5,117,26.5,110,109,109,2153.11,1939.65515,66.15385,76.92308,55.384613,67.69231,66.53846,36,37,37,40,41,3904.46069,3904.46069,3904.46069,3904.46069,34.16417,28.0915051,1.25231159,3.12378526,100.11438,46.3775864,7.359604,8.509277,48,1252.96851,3505.50024,2505.937,1136,34,17,0,7,35,2048,2031.40234,16.5976563,99.18957,50.1680031,14.6484375,871.09375,33,0.0102996826,30,0.0422515869,100,479.078857,48.1967,25,1.56555367,0.007537842
12/16/2021 07:13:00,27.4509811,100,49.80392,49.80392,49.80392,49.80392,0.584000051,1.008,3.40800023,3.3920002,0.992000043,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,38,28.5,117,26.5,110,109,109,2160,1925.82031,78.46154,66.15385,72.30769,66.15385,70.7692261,34,36,36,35,37,3904.46069,3904.46069,3904.46069,3904.46069,32.89398,26.500452,1.46190524,3.48817682,100.11438,46.20378,7.33202362,8.536858,53,1252.96851,3505.50024,2505.937,1128,92,44,0,7,35,2048,2031.52734,16.4726563,99.19567,92.382,38.0859375,1765.625,33,0.0102996826,30,0.0422515869,100,479.078857,48.1967,25,1.56555367,0.007537842
12/16/2021 07:13:02,27.4509811,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.40800023,3.40800023,0.992000043,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,37,28.5,117,26.5,110,109,109,2149.68164,1928.57141,56.92308,63.0769272,52.30769,67.69231,60.0000038,33,35,32,33,35,3904.46265,3904.46265,3904.46265,3904.46265,31.7969723,25.4095268,1.47671378,3.4254024,100.114426,46.2043343,7.33211136,8.53677,53,1252.96851,3505.50024,2505.937,1125,72,35,0,7,35,2048,2031.52734,16.4726563,99.19567,72.7830048,33.203125,1764.64844,33,0.0102996826,30,0.0422515869,100,479.078857,48.1967,25,1.56555367,0.007537842
12/16/2021 07:13:03,27.4509811,100,49.80392,49.80392,49.80392,49.80392,0.56,1.008,3.40800023,3.40800023,0.992000043,0.160000011,1,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,36,28.5,117,26.5,110,109,109,2146.264,1909.47668,64.0625,51.5625,43.75,67.1875,56.640625,32,34,36,39,39,3904.46021,3904.46021,3904.46021,3904.46021,30.4616871,24.0788174,1.4766618,3.37357783,100.114365,46.54062,7.385475,8.483406,53,1252.96851,3505.50024,2505.937,1128,71,34,0,7,35,2048,2031.52734,16.4726563,99.19567,62.7600021,44.921875,1764.64844,33,0.0102996826,30,0.0422515869,100,479.078857,48.1967,25,1.56555367,0.007537842
12/16/2021 07:13:04,27.4509811,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.40800023,3.40800023,1,0.160000011,1,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,37,28.5,117,26.5,110,109,109,2160,1917.61365,67.69231,53.8461571,49.2307663,72.30769,60.76923,34,38,40,40,40,3904.46167,3904.46167,3904.46167,3904.46167,30.0331078,23.7735023,1.42248619,3.20673442,100.1144,46.29516,7.34652328,8.522358,51,1252.96851,3505.50024,2505.937,1130,21,10,0,5,35,2048,2032.40234,15.5976563,99.2383957,35.8770027,2.9296875,1330.07813,33,0.0102996826,30,0.0422515869,100,479.078857,48.1967,25,1.56555367,0.007537842
12/16/2021 07:13:05,30.9803925,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.008,3.42400026,3.40800023,1,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,39,28.5,117,26.5,110,109,109,2163.46143,1928.57141,59.375,54.6875,53.125,62.5,57.421875,34,37,35,32,37,3904.46167,3904.46167,3904.46167,3904.46167,30.2394924,24.4980221,1.10942876,2.61369276,100.1144,47.40068,7.5219574,8.346924,49,1252.96851,3505.50024,2505.937,1135,8,4,0,4,35,2048,2027.85156,20.1484375,99.01619,36.998,1015.625,2284.17969,33,0.0102996826,30,0.0422515869,100,479.078857,48.1967,25,1.56555367,0.007537842
12/16/2021 07:13:06,30.9803925,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.42400026,3.40800023,1,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,37,28.5,117,26.5,110,109,109,2163.46143,1928.57141,75,62.5,62.5,67.1875,66.796875,32,39,33,33,39,3904.46021,3904.46021,3904.46021,3904.46021,32.5538673,26.60866,1.19520128,2.95341468,100.114365,47.5564041,7.546669,8.322212,48,1252.96851,3505.50024,2505.937,1138,10,4,0,5,35,2048,2028.35156,19.6484375,99.0406,36.52,6.8359375,1770.50781,33,0.0102996826,30,0.0422515869,100,479.078857,48.1967,25,1.56555367,0.007537842
12/16/2021 07:13:07,29.4117661,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.40800023,3.40800023,1,0.160000011,1,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,37,28.5,117,26.5,110,109,109,2173.913,1939.65515,71.875,39.0625,60.9375,76.5625,62.109375,36,39,35,38,39,3904.46216,3904.46216,3904.46216,3904.46216,32.19971,26.311,1.17220545,2.98670864,100.11441,48.43721,7.68644333,8.182438,48,1252.96851,3505.50024,2505.937,1139,11,5,0,4,35,2048,2028.35156,19.6484375,99.0406,35.958,5.859375,890.625,33,0.0102996826,30,0.0422515869,100,479.078857,48.1967,25,1.56555367,0.007537842
12/16/2021 07:13:08,27.4509811,100,49.80392,49.80392,49.80392,49.80392,0.584000051,1.008,3.40800023,3.40800023,1,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,38,28.5,117,26.5,110,109,109,2160,1931.33044,56.25,56.25,65.625,64.0625,60.546875,33,35,32,38,38,3904.46045,3904.46045,3904.46045,3904.46045,30.7790813,24.90268,1.1687609,2.880823,100.114372,47.7842178,7.582821,8.28606,48,1252.96851,3505.50024,2505.937,1138,10,4,0,5,35,2048,2028.35156,19.6484375,99.0406,38.026,5.859375,1325.19531,33,0.0102996826,30,0.0422515869,100,479.078857,48.1967,25,1.56555367,0.007537842
